primarily,"ad. 主要地,首先地,基本地"
decode,"vt. 解码,译解"
decomposer,n. 分解者
decorous,"a. 有礼貌的,高雅的,端正的"
decorum,"n. 端正,礼貌合宜,礼仪"
deduction,"n. 减除,扣除,减除额,推论"
defer,"vi. 推迟,延期,听从vt. 使推迟,使延期"
deficit,"n. 赤字,不足额"
definite,"a. 明确的,一定的"
degrade,"v. (使)降级,(使)堕落,(使)退化"
dehumanize,"vt. 剥夺…的人性,使…无人性"
delude,"vt. 迷惑,蛊惑"
deluge,"n. 大洪水,泛滥vt. 使泛滥"
demean,"vt. 贬低身份,举止"
dependence,"n. 依赖,依存,信赖"
derelict,"a. 被抛弃了的,无主的n.玩忽职守者"
desktop,n. 桌面
destine,"vt. 注定,预定"
detest,"vt. 厌恶,憎恨"
disposable,a. 可任意使用的
dissemination,"n. 散播,传播,普及"
dissension,"n. 意见不合,纠纷,倾轧"
distinctly,"ad. 显然地,明显地,清楚地"
diver,n. 潜水者
divergent,a. 分歧的
divine,"a. 神的,神圣的,非凡的n. 牧师"
divulge,"vt. 泄露,暴露"
domesticity,"n. 专心于家务,对家庭的挚爱,家庭生活"
doom,"n. 厄运,不幸,法律,死亡,宣告vt.命中注定"
dormant,"a. 睡眠状态的,静止的"
dragonfly,n. 蜻蜓
dramatist,n. 剧作家
drummer,"n. 鼓手,旅行推销员"
duration,"n. 持续时间,为期"
dye,"n. 颜料,染料vt. 染,染色vi. 着色"
easel,"n. 画架,黑板架"
ecstasy,"n. 狂喜,心醉神迷,忘形"
ecstatic,n. 狂喜的人a. 狂喜的
edifice,"n. 大厦,大建筑物"
egalitarian,a. 平等主义的n. 平等主义
euphemism,n. 委婉的说法
exalt,"vt. 提升,提高,赞扬,使得意vi. 使人兴奋"
exceed,"vt. 超过,超越,胜过vi. 超过其他"
exorbitant,"a. 过度的,过高的,过分的"
extravagance,"n. 奢侈,浪费,放肆的言行"
fabricate,"vt. 制造,建造,装配,伪造"
facade,"n. 建筑物的正面,外观,表面"
faintly,"ad. 微弱地,模糊地,朦胧地"
fastidious,"a. 难取悦的,挑剔的,苛求的"
felicitous,"a. 巧妙的,极为适当的,可喜的"
fictitious,"a. 假想的,编造的,虚伪的"
fidelity,"n. 忠实,诚实,忠诚,保真度"
finesse,"n. 精密技巧,灵巧,策略v 用计谋处理,出小牌"
fixture,"n. 固定物,设备"
flank,"n. 侧面,侧腹vt.攻击侧面,面临着"
foolhardy,"a. 愚勇的,有勇无谋的"
foresight,"n. 远见,深谋远虑"
forestall,"vt. 先...一步行动,占先一步,垄断,阻碍"
forlorn,"a. 孤独的,悲惨的,凄凉的"
formally,"ad. 正式地,拘泥礼仪,形式上"
foul,"a. 污秽的,邪恶的vt. 弄脏,妨害"
guesswork,"n. 臆测,猜测,凭猜测所作之工作"
guild,"n. 公会,协会,行业协会"
gush,"n. 涌出,滔滔不绝的讲话v.迸出,滔滔不绝的讲话"
habitable,a. 可居住的
hallmark,"n. 纯度检验证明,品质证明vt.加盖纯度检验证明"
hallway,n. 走廊
hamper,"n. 食盒,食篮,阻碍物vt.阻碍,妨碍"
harness,"n. 马具,系在身上的绳子,甲胄vt.束以马具"
hasty,"a. 匆匆的,轻率的,急忙的"
haven,"n. 港口,避难所,安息所vt.庇护,入港"
heave,"n. 举,抛,起伏,鼓起vt.用力举起,使胀起"
hence,"ad. 因此,从此"
hie,"vt. 急忙,疾走,催促"
hinder,"a. 后面的v. 阻碍,打扰"
hoar,"a. 白的,灰色的,发白的n. 灰白,灰白色"
holistic,"adj. 整体的, 全盘的"
hoop,"n. 箍,铁环,呼呼声vt. 加箍于,包围"
humane,"a. 有人情的,人道的,仁慈的"
hummingbird,"n. [鸟]蜂鸟,蜂雀"
idol,"n. 偶像,崇拜物,幻象,谬论"
imbue,"vt. 使感染,使蒙受,鼓吹"
inflame,"vt. 激怒,点火,使发炎vi. 着火,激动,发炎"
infraction,"n. 违反,侵害"
infusion,"n. 注入,鼓吹,熬煮"
ingenuity,"n. 智巧,创造力,精巧的设计"
ingrain,"vt.使根深蒂固 生染的,生来的"
inheritance,"n. 遗传,遗产"
inhospitable,"a. 冷淡的,不和气的,不亲切的"
initiative,"n. 初步行动,主动a. 自发的,起始的"
inquisitive,"a. 想问的,想知道的,好追根究底的"
inscribe,"vt. 登记,铭记于,题写,雕刻"
inspirational,"a. 带有灵感的,给予灵感的,灵感的"
interpersonal,"a. 人与人之间的,关于人与人之间关系的"
interstate,a. 州际的
intolerable,"a. 无法忍受的,难耐的"
intricacy,"n. 纷乱,复杂,错综"
intrusive,"a. 打扰的,插入的"
invigorate,"vt. 赋予精神,鼓舞,激动,使健壮"
irreconcilable,"a. 不能和解的,不能协调的,矛盾的"
irregular,"n. 不合规格之物a. 不规则的,不合法的"
irresolute,"a. 无决断的,优柔寡断的,踌躇不定的"
irreverence,"n. 不敬,非礼,不敬的行为"
competence,"n. 胜任,资格,能力"
shrink,"n. 收缩,萎缩,畏缩vi.收缩,缩小,萎缩"
fierce,"a. 凶猛的,猛烈的,热烈的,暴躁的"
conceited,"a. 自负的,逞能的,狂想的"
vertical,"a. 垂直的,直立的"
violinist,"n. 小提琴演奏者,小提琴家"
donate,v. 捐赠
acquaintance,"n. 相识者,熟悉"
lounge,"n. 闲逛,休闲室,长沙发vi.闲混"
alley,"n. 小路,巷"
cuisine,"n. 烹调风格,烹调法,烹饪,厨房"
split,"n. 劈开,裂片,裂缝,派别,派系,分裂vi. 分离"
discrimination,"n. 差别,歧视,辨别力"
funeral,"n. 葬礼,出殡"
loaf,"n. 一条面包,块,游荡v. 游手好闲,虚度光阴"
spear,"n. 矛,枪,持矛者vt.用矛刺vi.刺"
abolish,"vt. 废止,革除,取消"
pyramid,"n. 角锥,金字塔v. (使)渐增"
comprehension,"n. 理解,包含"
refrigerator,"n. 电冰箱,冷藏库"
obey,"vt. 服从,遵从,顺从vi. 服从"
boycott,n. 联合抵制vt. 联合抵制
portable,"a. 可携带的,可搬运的,可移动的"
souvenir,n. 纪念品
loudspeaker,"n. 扩音器,喇叭"
ashamed,"a. 惭愧的,羞耻的"
garlic,n. 大蒜
awful,"a. 可怕的,庄严的"
corrupt,"a. 腐败的,贪污的 vt.使腐烂,腐蚀,使恶化"
wrap,"n. 外套,围巾,包裹,秘密,约束,限制"
compass,"n. 指南针,周围,境界vt. 包围,达成,企图"
demand,"n. 要求,需求,需要v. 要求,查询"
course,"n. 课程,路线,道路,一道菜,过程v.追,(使)跑"
compare,"vt. 比较,比喻,匹敌vi. 相比n. 比较"
account,"n. 账目,报告,记录,算账vi.解释,认为vt.认为"
represent,"vt. 表现,表示,扮演,再上演vi.提出异议"
attitude,"n. 态度,看法,姿势"
belief,"n. 信念,相信,信仰"
bear,"n. 熊vt. 忍受,怀有,产生vi. 忍受"
activity,"n. 活动,动作,活力"
effort,"n. 努力,成就"
achieve,vt. 完成
assume,"vt. 假定,承担,摆架子vi. 专擅"
primary,"n. 最主要者,原色a.主要的,初期的,基本的"
experiment,"n. 实验,试验,尝试vi. 实验,尝试"
phrase,"n. 片语,惯用语,成语,措词vt. 用短语表达"
appear,"vi. 出现,显得,来到"
debate,"n. 辩论,讨论v. 争论,辩论"
quality,"n. 品质,特质,才能,质量a. 优质的n. 品质"
contemporary,"n. 同时代的人a.同时代的,属于同一时期的"
environment,"n. 环境,外界,围绕"
literature,"n. 文学,文艺,著作"
introduce,"vt. 介绍,引入,采用,输入"
material,"n. 材料,物资,布料,素材a.物质的,肉体的,具体的"
technique,"n. 技术,方法,表演法"
physical,"a. 身体的,物质的,自然的n. 体格检查"
determine,"v. 决定,决心"
according,ad. 根据
intelligence,"n. 智力,情报,神"
description,"n. 描述,说明,种类"
reality,"n. 真实,事实,实在,逼真"
appeal,"n. 恳求,上诉,吸引力,要求vi.求助,要求vt.控诉"
project,"n. 计划,设计,事业vt.计划,设计,发射,表达,放映"
literary,"a. 文学的,文艺的,精通文学的"
major,"n. 主修课,成年人,陆军少校a.主要的,严重的vi.主修"
impression,"n. 印象,意念,盖印,印记,效果,底色"
combine,"v. (使)联合,(使)结合n.集团,联合收割机"
tend,"vi. 有某种的倾向,易于,注意vt.照料,护理"
raise,"n. 上升,高地,增高,提出vt.升起,举起,唤起,饲养"
similar,"a. 相似的,类似的n. 相似的东西"
immediately,"ad. 立刻,刚,立即"
affect,"vt. 影响,假装,倾向于,感动n. 感情"
available,"a. 有用的,有空的"
throughout,"ad. 在所有各处,彻头彻尾,自始至终prep.遍及"
variety,"n. 多样,种类,变种,杂耍"
familiar,"a. 熟悉的,常见的,亲密的n. 熟友,常客"
range,"n. 排,行,山脉,射程,行列vt.排列vi.延伸,漫游"
origin,"n. 起源,起因,出身,开端"
complex,"n. 合成物,情结,复杂a. 复杂的,合成的"
pattern,"n. 模范,典型,式样,格调,图案,样品vt.模仿,仿造"
avoid,"vt. 避免,消除"
encourage,"vt. 鼓励,支持,激励"
insert,"n. 插入物vt. 插入,镶补vi. 附着n. 插入"
phenomenon,"n. 现象,特殊的人,特殊的事物,奇迹"
unusual,"a. 不寻常的,罕见的,非常的"
eventually,"ad. 最后,终于"
academic,"a. 学院的,理论的,不够实际的"
inspire,"vt. 使感动,激发,启示,吸入,使生灵感"
obvious,"a. 明显的,明白的,显然的"
amount,"n. 数量,总额vi. 总计,等于"
industry,"n. 工业,企业,产业,勤劳"
perceive,"vt. 感觉,认知,理解"
structure,"n. 结构,构造,建筑物vt. 构成,组织"
frequently,"ad. 时常,屡次,经常地"
philosophy,"n. 哲学,人生观,原理"
content,"n. 内容,满足,要旨a.满足的vt.使...满足"
emotional,"a. 情绪的,情感的"
emotion,"n. 情绪,激动,强烈的情感"
trait,"n. 特色,品质,少许,一笔,特性"
crisis,"n. 危机,危险期,紧要关头"
depict,"vt. 描述,描写"
portrait,"n.肖像,人像,半身像,人物描写n. 纵向"
portray,"vt. 描绘,描写,逼真地描写"
solution,"n. 解决,解答,溶液"
vary,"vt. 改变,使多样化vi. 变化,不同,违反"
genius,"n. 天才,天赋,本质,精灵,风气,精神"
offer,"n. 出价,提议,意图,报价vt.提供,出价vi.出现"
quotation,"n. 引用语,价格,报价单"
analyze,"vt. 分析,分解"
celebrity,"n. 名声,名人"
particularly,"adv. 1 特别地,尤其2 仔细地,详细地"
narrative,"n. 叙述,故事a. 叙述的,叙事的,故事体的"
respond,"vt. 回答vi. 回答,响应,承担责任,有反应,回报"
escape,"n. 逃亡,避难设备,出口,逃跑vi.逃脱vt.避免"
conflict,"n. 冲突,矛盾,争执vi. 争执,撞斗,冲突,抵触"
admire,"vt. 赞美,钦佩,喜欢,爱慕"
preserve,"vt. 保护,维护,保藏,禁猎vi.做蜜饯n.蜜饯"
theme,"n. 主题,话题,题目"
comment,"n. 注解,批评,评论vi. 批评,注解n. 备注"
astronomer,n. 天文学家
practical,"a. 实际的,现实的,实用性的"
civil,"a. 市民的,公民的,有礼貌的"
potential,"n. 潜在性,可能性,潜力,潜能a. 有潜力的"
disease,"n. 疾病,弊病"
yawn,"n. 哈欠vi. 打哈欠,张口vt. 打着哈欠地说"
contribute,"vt. 有助于,捐助,投稿vi. 出力,捐献,投稿"
consequence,"n. 结果,影响力"
theater,"n.戏院,电影院,剧场,全体观众,戏剧,活动场所"
remark,"n. 备注,评论,注意vt. 评论,谈及vi. 评论"
responsibility,"n. 责任,职责,可靠性,响应度,负担"
advocate,"n. 提倡者,拥护者vt. 主张,提倡"
attract,"vt. 吸引,诱惑vi. 有吸引力"
progress,"n. 进步,发展,前进vi. 促进,进步,进行"
organization,"n. 组织,结构,团体"
significance,"n. 重要性,意味深长,意义"
analysis,n. 分析
award,"n. 奖品,决定,判决vt. 颁发,赏给"
abstract,"n. 摘要,抽象a.抽象的,深奥的vt.摘要 ,使抽象化"
discourage,"vt. 使气馁,阻碍"
competition,"n. 竞争,竞赛"
survive,"vt.生存,生还,幸免于vi. 活下来,幸存"
accomplish,vt. 完成
architecture,"n. 建筑学,建筑"
puzzle,"n. 难题,迷惑vt.使困惑,使为难 vi.迷惑,苦思"
pretend,"v. 假装,伪称,自命,自称"
architect,"n. 建筑师,设计者,造物主"
conversation,"n. 会话,说话,交谈"
expand,"vt. 使膨胀,详述,扩张vi. 张开,发展v. 展开"
chemical,"n. 化学药品a. 化学的,化学用的"
alternative,"n. 二中择一,变通办法a. 二中择一的,选择性的"
sail,"n. 帆,篷,船只,帆状物,航行,航程vi. 航行"
accurate,"a. 正确的,精确的"
characteristic,"n. 特性,特征,特色a. 特性的,本性的,有特色的"
addition,"n. 附加,增加,加法"
diet,"n. 日常饮食,议会vt. 照规定饮食vi. 忌食"
scene,"n. 场,景,情景,镜头,发生地点,景色,布景,道具"
profound,"a. 极深的,深奥的,深厚的,极度的,渊博的,深刻的"
encounter,"n. 相会,相遇,遭遇vt. 遇见,邂逅,会战vi.偶然相遇"
engage,"vi. 答应,从事,交战vt.使忙碌,雇佣,使参加,使从事于"
essential,"n. 要素,要点,本质a.必要的,重要的,本质的"
series,"n. 串联,序列,连续,系列,丛书,组n. 系列"
shift,"n. 变化,移动vt.替换,转移vi.转换,移动 n. 移位"
taxes,n.税务；税捐；税收，税金
alter,v. 改变
extent,"n. 范围,程度,区域"
habitat,"n. 栖息地,居留地,自生地,聚集处"
presence,"n. 出席,面前,态度,风度"
propose,"vt. 计划,打算,向...提议vi.打算,求婚"
representation,"n. 表示法,表现,陈述,请求,继承,扮演,代表"
dramatic,"a. 戏剧性的,生动的"
fame,"n. 名望,传说"
ideal,"n. 理想,观念,思想,最后目标a.理想的,完美的"
instance,"n. 例证,建议,例子,情况vt. 引以为例"
mysterious,"a. 神秘的,难解的,不可思议的"
scholarly,"adj. 1 有学者风度的,学究型的2 学术上的"
unexpected,"a. 料想不到的,突然的,意外的"
biologist,n. 生物学家
exaggerate,"v. 夸大,夸张"
emphasis,"n. 强调,加强,重要,强语气"
exhibit,"n. 展览品,陈列品,展览vt.展现,陈列"
intellectual,"n. 有知识者,知识分子 a.智力的"
justify,"vt. 替...辩护,证明vi. 证明合法"
mock,"n. 嘲笑,戏弄,模仿a. 假的,伪造的vt.嘲弄"
mystery,"n. 秘密,神秘,奇谈"
passion,"n. 热爱,强烈的感情,热情,耶稣的受难"
popularity,"n. 名声,受大众欢迎,流行"
solar,"a. 太阳的,日光的,源自太阳的"
vision,"n. 视觉,先见之明,视力vt.梦见,想象"
negative,"n. 否定,否定语,底片a.否定的,消极的,负的n.负数"
realistic,"a. 现实的,逼真的,现实主义的,实在论的"
endure,"vt.  (耐心地) 忍受,容忍a.忍耐b.忍受"
extinction,"n. 消失,消灭,废止"
instinct,"n. 本能,直觉a. 充满的"
label,"n. 标签,签条,商标vt. 贴标签于,分类n.标志"
motion,"n. 移动,手势,动作,提议,请求v. 打手势"
personality,"n. 个性,人格,名人"
psychological,"a. 心理学的,精神上的,心灵的"
predictable,a. 可预言的
genuine,"a. 真正的,真实的,诚恳的"
compose,"vt. 组成,写作,作曲,使平静vi. 创作,排字v. 编写"
definition,"n. 定义,精确度,清晰度"
flaw,"n. 缺点,裂纹,瑕疵,一阵狂风"
journalism,"n. 新闻业,报章杂志"
misconception,n. 误解
raven,"n. 大乌鸦,掠夺a. 乌黑的v. 掠夺,狼吞虎咽"
responsible,"a. 有责任的,负责的,责任重大的,可靠的"
revise,"n. 校订,修正,再校稿vt. 校订,修正,校正"
somewhat,"n. 某物,几分ad. 多少,几分"
specialize,"vt. 使特殊化,列举,特别指明 vi.成为专家"
inevitable,"a. 不可避免的,必然的"
intelligent,"a. 聪明的,伶俐的,有才智的"
logical,"a. 合乎逻辑的,合理的"
remarkable,"a. 不平常的,值得注意的,显著的"
hike,"n. 徒步旅行,远足,提高vi.徒步旅行vt.使高涨"
biological,a. 生物学的
completely,"ad. 完全地,十分地,全然"
comprehensive,"a. 广泛的,有理解力的,包容力大的"
tendency,"n. 趋向,倾向"
survival,"n. 留住生命,生存,残存,幸存者"
atmosphere,"n. 大气,气氛"
introduction,"n. 介绍,传入,初步"
overcome,"vt. 战胜,克服,胜过vi. 得胜"
excite,"vt. 刺激,使兴奋,激励"
disturb,"vt. 扰乱,妨碍,使不安"
undertake,"vt. 从事,保证,接受,同意,承担"
amuse,"vt. 消遣,娱乐,使发笑"
racial,"a. 人种的,种族的"
transform,"vt. 转换,改变,改造 vi. 改变,转化"
independence,"n. 独立,自立,自主"
approval,"n. 赞成,承认"
motivation,"n. 动机,刺激,推动"
apparent,"a. 显然的,外观上的"
construct,"vt. 构造,建造,想出,作图n. 构成物"
acknowledge,"vt. 承认,答谢,认知"
physician,"n. 医师,内科医师"
existence,"n. 存在,生存"
politics,"n. 政治,政治学,政见,政治活动"
shock,"n. 震动,冲突,震惊vt.使震动vi. 震动,吓人"
delight,"n. 高兴,愉快vt. 使高兴,乐于vi. 喜爱"
favor,"n. 好意,喜爱vt. 支持,喜欢,证实"
dismiss,"vt. 解散,开除,解职vi. 解散v. 解散"
incident,"n. 事件,事变a. 附带的,易于发生的,外来的"
majority,"n. 多数,大半"
modem,n. 调制解调器
arrange,"v. 安排,排列,协商"
vast,"a. 巨大的,广大的,非常的,大量的"
journalist,"n. 新闻记者,报人,从事新闻杂志业的人"
defense,"n. 防卫,防卫物"
blame,"n. 过失,责备vt. 责备,归咎于"
desert,"n. 沙漠a.沙漠的,不毛的vt.放弃,逃跑vi.逃掉"
tire,"n. 轮胎,头饰vt.使疲倦,梳理vi.疲劳,厌倦"
alike,"a. 相似的,同样的ad. 一样,以同样的方式"
pipe,"n. 管,导管,输送管,管状器官,声带,管乐器"
institution,"n. 机构,惯例,创立"
barrier,"n. 障碍,栅栏"
persuade,"vt. 劝,使相信,说服vi. 被说服"
ambition,"n. 野心,志气"
sensitive,"a. 敏感的,易感的,灵敏的,感光的"
visual,a. 视觉的
clerk,"n. 办事员,行员,书记vi. 当店员"
carbon,"n. 碳,副本,复写纸"
rid,"vt. 免除,清除,使获自由,使摆脱"
approve,"vt. 赞同,核准,证实vi. 赞许"
abandon,"vt. 放弃,沉溺n. 放任"
grasp,"n. 把握,抓紧,抓,柄vt.抓住 ,领会vi. 抓"
random,"n. 随意,任意a. 任意的,随机的ad.胡乱地"
whale,"n. 鲸vi. 捕鲸,猛攻vt. 使惨败,猛揍"
ancestor,"n. 祖先,祖宗"
accessible,"a. 易接近的,可进入的,易受影响的,可理解的"
extremely,"ad. 极端地,非常地,很"
embarrass,"vt. 使困窘,使局促不安,阻碍"
fantasy,"n. 幻想,白日梦"
accuracy,"n. 精确,正确"
revision,"n. 校订,修正,修订本n. 修订版"
department,"n. 部门,系,机关"
deny,"v. 否认,拒绝"
drama,"n. 戏剧,戏剧艺术"
innovative,adj. 创新的
military,"n. 军队a. 军事的,军人的,好战的"
objective,"n. 目的,受格,实物a. 客观的,外在的"
opponent,"n. 对手,敌手,反对者a. 敌对的,反对的"
ultimately,"adv. 1 最后,终于,终结2 [修饰整句]终究"
anecdote,"n. 轶事,奇闻"
assert,"vt. 主张,声明,断言"
conceive,"vt. 构思,以为vi. 怀孕"
confusion,"n. 混乱,混淆,无秩序"
consumption,"n. 消费,消费量,憔悴"
culminate,"vi. 到绝顶,达于极点vt.使达到高潮"
curiosity,"n. 好奇心,新奇的事物,珍品"
despair,"n. 绝望,失望vi. 绝望"
elevator,"n. 电梯,升降机"
endanger,vt. 危及
genre,"n. 类型,流派"
humanity,"n. 人性,人类,博爱"
inadequate,"a. 不充分的,不适当的"
interfere,"vi. 妨碍,冲突,干涉,抵触"
overwhelm,"vt. 淹没,受打击,制服,压倒"
preservation,"n. 保存,贮藏,保护"
prime,"n. 最佳部分,初期,全盛期a.主要的,根本的"
ridicule,"n. 嘲笑,愚弄,笑柄vt. 嘲笑,嘲弄,愚弄"
similarity,"n. 类似,类似处"
speculation,"n. 沉思,推测,投机"
spite,"n. 恶意,怨恨,不顾vt. 故意刁难,欺侮"
threat,"n. 恐吓,噩兆,威胁"
pursuit,"n. 追踪,追捕,追求,职业,工作,追赶"
recognition,"n. 赞誉,认得,承认,重视,认识,认可"
recount,"vt. 详述,叙述,重新计算n. 重新计算"
seemingly,"adv. 1 表面上,外表上2 [修饰整句]看起来"
thereby,ad. 因此，从而
transportation,"n. 运输,输送,交通业"
feudalism,n. 封建制度
inherent,"a. 固有的,与生俱来的"
mathematician,n. 数学家
radical,"n. 激进分子,语根,基础a. 激进的,根本的"
rhythm,"n. 旋律,节奏,律动,匀称"
admiration,"n. 赞赏,钦佩,赞赏的对象"
archaeologist,n. 考古学家
artwork,"n. 艺术品,美术品"
compel,"vt. 强迫,迫使"
composer,"n. 作曲家,作家,设计者"
compound,"n. 混合物,复合字a. 复合的vi. 混合"
creativity,"n. 创造力,创造"
devise,"vt. 设计,发明,图谋,遗赠给n. 遗赠"
eliminate,"vt. 除去,排除,剔除,消除"
factor,"n. 因素,因数,代理人"
necessity,"n. 需要,必需品,必然"
newly,"ad. 重新,最近"
noteworthy,"a. 值得注目的,显著的"
previously,"adv. (无比较级、最高级)以前,事先,预先"
progressive,"n. 改革论者,进步论者a. 前进的,累进的,进步的"
publisher,"n. 出版者,发行人"
quote,"n. 引用vt. 引述,举证,报价vi. 引用"
recall,"n. 回忆,召回,取消vt.回想,召回,恢复"
repeatedly,"ad. 重复地,再三地"
rural,"a. 乡下的,田园的,乡村风味的"
scent,"n. 气味,香味,香水,嗅觉vt.嗅,使充满气味"
skepticism,n. 怀疑论
startle,"n. 惊愕,惊恐vt. 吃惊,使惊愕vi. 惊起"
summarize,"v. 概述,总结,摘要而言"
transmit,"vt. 传输,转送,传达,发射vi.发射信号,发报"
unlikely,a. 不太可能的
architectural,"a. 建筑的,建筑学的,建筑术的"
arid,"a. 干燥的,不毛的"
bother,"vt. 烦扰,迷惑vi. 烦恼,操心n.纠纷,讨厌的人"
captivity,"n. 囚禁,被关"
confine,"vt. 限制,闭居,禁闭n. 边缘,范围,区域"
prey,"n. 被掠食者,牺牲者vi. 捕食,掠夺,折磨"
proposal,"n. 提议,计划,求婚"
publicize,"vt. 宣传,公布,广告"
reconcile,"vt. 使和解,调停,使和谐,使听从,使顺从,使一致"
reproduction,"n. 再现,复制,复制品,繁殖,生殖"
resident,"n. 居民,常驻程序,居住者,留鸟a.居留的,定居的"
scheme,"n. 方案,计划,图解,阴谋v.图谋,策划"
sufficient,"a. 充分的,足够的"
superficial,"n. 表面,外表a. 表面的,肤浅的,面积的"
surprisingly,"adv. 1 令人惊讶地,非常地2令人惊讶的是"
surrounding,n. 环境a. 周围的
violation,"n. 违反,违背,妨碍"
resolution,"n. 解析,决心,坚定,决定,提案,消除,转变"
depression,"n. 不景气,消沉,沮丧,洼地"
elaborate,"a. 精细的,详尽的,精心的vt.详细地说明"
eloquent,"a. 雄辩的,有口才的,动人的"
environmentalist,n. 环保人士
intricate,"a. 复杂的,错综的,缠结的,难懂的"
monarch,"n. 帝王,统治者,元首"
navigation,"n. 航行,航海,导航"
reverse,"n. 相反,背面,失败,挫折a.反面的,颠倒的v.反转"
jade,"n. 玉,翡翠,老马v. (使)疲倦"
lament,"n. 悲叹,悔恨,悼词,挽歌vt.哀悼vi.悔恨,悲叹"
lover,"n. 爱人,爱好者"
loyalty,"n. 忠贞,忠诚,忠实"
meaningful,a. 意味深长的
mechanic,"n. 机械工,技工a. 手工的"
mechanical,"a. 机械的,机械性的,力学的"
metaphor,"n. 隐喻,暗喻"
neutral,"n. 中立者,中立国a.中立的"
obviously,adv.显然
overall,"a. 全部的,全体的,一切在内的ad.全部地n.罩衫"
overly,"ad. 过度地,极度地"
prejudice,"n. 偏见,成见,伤害vt. 使存偏见,使有成见,伤害"
psychologist,n. 心理学者
questionable,a. 可疑的
resentment,"n. 怨恨,愤恨"
rhetoric,"n. 修辞,修辞学,华丽虚饰的语言"
sentiment,"n. 感情,感伤,情操,意见,感想,情趣"
telescope,"n. 望远镜vi. 嵌进,挤撞,缩短vt.使套入,使缩短"
typical,"a. 典型的,象征性的"
van,"n. 货车,篷车,前卫,前驱,先锋vt.用车搬运"
humble,"a. 卑下的,谦逊的,粗陋的vt.,挫,贬抑"
identical,"a. 同一的,恒等的,完全相同的"
impose,"vt. 课征,强迫,以...欺骗vi.利用,欺骗,施影响"
literal,"a. 逐字的,字面上的,文字的,字母的n. 印刷错误"
makeup,"n. 天性,化妆品,补考,虚构,补充"
mission,"n. 任务,代表团,使命,传教团"
muscular,"a. 强壮的,肌肉发达的,有力的"
obsession,"n. 迷住,困扰"
occasionally,"ad. 有时候,偶尔"
parental,"a. 父母亲的,做双亲的"
peak,"n. 山顶,顶点,帽舌a. 最高的"
peer,"n. 同等的人,匹敌,贵族vi. 凝视,窥视"
plague,"n. 瘟疫,麻烦,灾祸vt. 折磨,使苦恼,使得灾祸"
proceed,"vi. 进行,开始,起诉,继续进行"
renowned,"a. 有名的,有声誉的"
resolve,"n. 决定之事,决心,坚决vt.解析,决心,消除,解决"
respectful,"a. 表示尊敬的,有礼貌的,谦恭的"
restore,"vt. 回复,恢复,修复,修补v. 还原"
routine,"n. 常式,日常工作,惯例a.日常的,常规的"
royal,"n. 王室,皇族a. 王室的,皇家的,庄严的"
scope,"n. 范围,机会,广度,导弹射程,观察仪器,眼界"
indicate,"vt. 显示,象征,指示,指出"
refer,"vt. 提交,谈及,使求助于,归诸于vi.提到,涉及"
influence,"n. 影响力,权力,势力vt. 影响,改变"
effect,"n. 结果,影响,效果,印象vt.招致,引起v.效果"
character,"n. 个性,字元,人物,资格,品格"
mention,"n. 提到,言及,陈述vt. 提到,提及"
require,"vt. 需要,命令,要求"
attempt,"n. 尝试,企图vt. 尝试,企图"
statement,"n. 陈述,指令,声明"
adapt,"vt. 使适应,改编vi. 适应"
destruction,"n. 破坏,毁灭"
discredit,"n. 无信用,疑惑,不名誉vt.不信,怀疑,使丢脸"
distrust,n. 不信任vt. 不信任
ecosystem,n. 生态系统
enrich,"vt. 使富足,使肥沃"
evil,"n. 邪恶,不幸,罪恶a. 邪恶的,有害的,诽谤的"
extinct,"a. 熄灭的,灭绝的,耗尽的"
frustration,"n. 打破,挫折,顿挫"
geologist,n. 地质学者
immense,"a. 极广大的,无边的,非常好的"
inexperienced,"a. 无经验的,不熟练的"
constant,"n. 常数,恒量a. 不变的,一定的,时常的"
victim,"n. 受害人,牺牲者,牺牲品"
association,n. 协会
extraordinary,"a. 非常的,特别的,非凡的"
medium,"n. 媒体,方法a. 半生熟的,中的n.媒体"
remote,"a. 遥远的,偏僻的,疏远的,细微的n. 远程"
accuse,"vt. 责备,控告,谴责"
request,"n. 请求,需要,请愿vt. 请求,要求,邀请"
violent,"a. 暴力的,猛烈的,激烈的,歪曲的,凶暴的"
expedition,"n. 远征,探险队,迅速"
astronomy,n. 天文学
construction,"n. 建筑,构造,建筑物"
trap,"n. 圈套,陷阱,诡计,存水弯vi.设圈套vt.诱捕"
somehow,ad. 不知何故
commitment,"n. 委托,实行,承担义务,赞助"
temporary,"a. 暂时的,临时的n. 临时工n. 临时"
amaze,vt. 使吃惊
permanent,"a. 永久的,不变的,固定的,持久的"
interrupt,"vt. 中断,妨碍,插嘴vi. 打断n. 中断"
compete,"vi. 竞争,对抗"
intention,"n. 意图,目的,观念"
pace,"n. 速度,步调,步法vi. 踱步,缓慢的走vt. 用步测"
adjust,"vt. 调整,使适应于,校准vi. 调整,适应于,校准"
procedure,"n. 程序,过程,手续"
anxious,"a. 忧虑的,热心的,渴望的"
nest,"n. 巢,窝,休息所,隐匿处vi. 筑巢,找鸟巢vt.使套入"
seize,"vt. 抓住,逮捕,俘获,掌握,扣押vi. 突然抓住,利用"
virtue,"n. 德行,美德,优点,英勇,效力"
throw,"vt. 投,掷,抛,施加vi. 丢,掷,抛n. 投掷,掷骰子"
